reported ID	URL	referenced ID	referenced URL	status	component	importance	keyword	version
86562	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86562	16353	https://bugs.llvm.org/show_bug.cgi?id=16353	invalid	c++	P3		9.0
86578	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86578	22042	https://bugs.llvm.org/show_bug.cgi?id=22042	invalid	c++	P3		9.0
86716	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86716	77767	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=77767	invalid	c++	P3		9.0
86720	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86720	4777	https://bugs.llvm.org/show_bug.cgi?id=4777	invalid	c	P3		9.0
86721	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86721	13099	https://bugs.llvm.org/show_bug.cgi?id=13099	invalid	c	P3		9.0
86729	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86729	2103	https://bugs.llvm.org/show_bug.cgi?id=2103	invalid	c	P3		9.0
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
						u		
